2022-03-19 18:21:32,696 - DEBUG - debug
2022-03-19 18:21:32,697 - INFO - info
2022-03-19 18:21:32,697 - WARNING - warning
2022-03-19 18:21:32,697 - ERROR - error
2022-03-19 18:21:32,697 - CRITICAL - critical
2022-03-19 18:21:32,697 - DEBUG - debug
2022-03-19 18:21:32,697 - INFO - info
2022-03-19 18:21:32,698 - WARNING - warning
2022-03-19 18:21:32,698 - ERROR - ERROR
2022-03-19 18:21:32,698 - CRITICAL - critical
03/19/2022 18:27:04 PM - DEBUG - debug
03/19/2022 18:27:04 PM - INFO - info
03/19/2022 18:27:04 PM - WARNING - warning
03/19/2022 18:27:04 PM - ERROR - error
03/19/2022 18:27:04 PM - CRITICAL - critical
03/19/2022 18:27:04 PM - DEBUG - debug
03/19/2022 18:27:04 PM - INFO - info
03/19/2022 18:27:04 PM - WARNING - warning
03/19/2022 18:27:04 PM - ERROR - ERROR
03/19/2022 18:27:04 PM - CRITICAL - critical
03/20/2022 10:06:14 AM - DEBUG - debug
03/20/2022 10:06:14 AM - INFO - info
03/20/2022 10:06:14 AM - WARNING - warning
03/20/2022 10:06:14 AM - ERROR - error
03/20/2022 10:06:14 AM - CRITICAL - critical
03/20/2022 10:06:14 AM - DEBUG - debug
03/20/2022 10:06:14 AM - INFO - info
03/20/2022 10:06:14 AM - WARNING - warning
03/20/2022 10:06:14 AM - ERROR - ERROR
03/20/2022 10:06:14 AM - CRITICAL - critical
